t,Q,T,COD,NH4,TN,TSS,TP,Qintr,Qr,Qw,Quprimary,Quthickener,Qodewatering,Qmetal,DO5,DO6,DO6ref,DO7,Qo,CODo,NH4o,TNo,TSSo,TPo,EQI,SC,AE,PE,ME,OCI,EQI_original
0.015625,14406.28225,19.73711225,614.746915,19.151798499999998,44.0686325,355.109175,8.031241300000001,48134.831,25411.192,476.45151,138.91475,27.9286975,169.05459,0.099408585,0.412137215,1.886038925,1.8624456,1.5939996250000001,14403.99725,40.491909750000005,0.1339284225,8.558629425,12.121001,1.1132138999999999,6677.88675,12132.98,3933.7285,864.84397,5481.689249999999,18422.37825,4605.147088020383
0.05729166675,12837.011,19.6187615,584.1798225,16.7092765,40.65326225,341.80423,8.819089224999999,48134.831,25411.192,476.45151,138.91475,27.9121175,167.203865,0.099408585,0.3955620775,1.882959775,1.8624456,1.4218096,12829.098,40.03388975,0.132270675,8.591077,11.486679,1.0346196,6464.8587,11993.3415,3545.02965,864.8271725,5485.683575,17890.02975,3969.606171671015
0.09895833325,11749.33225,19.491398,528.349775,14.732323749999999,36.6512485,311.96099000000004,8.26262245,48134.831,25411.192,476.45151,138.91475,27.9120365,165.7244825,0.099408585,0.39318491,1.876872175,1.8624456,1.26358665,11739.89975,39.856237,0.1290672775,8.6022696,11.1442105,0.9891049925000001,6344.323675,11878.62725,3246.704825,864.8153275,5489.73295,17472.92975,3564.4849506508313
0.140625,10914.3035,19.3638105,482.6488075,14.9119905,35.10729125,286.9767825,7.929861575,48134.831,25411.192,476.45151,138.91475,27.9277675,164.54470750000002,0.099408585,0.4010533825,1.87280035,1.8624456,1.142478425,10904.30825,39.82064375,0.1248529,8.565927649999999,10.95344025,0.9691532375,6281.4588,11783.815999999999,3039.3854499999998,864.807775,5492.915875,17167.608500000002,3277.822527907267
0.1822916675,10515.677,19.2448005,446.4652325,14.04939675,32.696661,263.812485,7.31144015,48134.831,25411.192,476.45151,138.91475,27.95759125,162.82521250000002,0.099408585,0.41416747249999997,1.86990385,1.8624456,1.0470711000000001,10500.52825,39.84824275,0.120405715,8.4744098,10.839923500000001,0.97137449,6260.3033,11648.923999999999,2884.52065,864.7976025,5493.96515,16876.7925,3145.7190670945643
0.2239583325,11320.50175,19.142587,396.1887125,13.39490575,29.74117525,227.3316325,6.650556875,48134.831,25411.192,476.45151,138.91475,27.997707,162.865075,0.099408585,0.4288307825,1.866715825,1.8624456,0.9874590875,11305.525,40.045694,0.11598732,8.329181675000001,10.914195249999999,1.0058238474999999,6313.076425,11639.573,2790.0459499999997,864.8027325,5490.0022,16776.93475,3415.3294972834497
0.265625,11766.620499999999,19.064242999999998,382.2012475,14.96522575,30.34698525,207.605115,6.02051245,48134.831,25411.192,476.45151,138.91475,28.04244,163.2384225,0.099408585,0.435953115,1.8633539,1.8624456,0.9566949124999999,11742.455249999999,40.2563585,0.11221988499999999,8.131363875,11.020056499999999,1.068036075,6415.394,11653.61175,2738.3689999999997,864.8110875,5482.475925,16746.8305,3606.6359056664023
0.30729166750000003,17258.26525,19.01521475,382.02058999999997,22.312707500000002,36.42308725,176.9133175,6.4482962,48134.831,25411.192,476.45151,138.91475,28.086848,164.48485499999998,0.099408585,0.4407657975,1.85472495,1.8624456,0.9955283050000001,17212.10725,40.971588499999996,0.1090434275,7.888237075,11.6741335,1.2083731,6724.094125,11731.35625,2798.3865,864.8263875,5463.9625,16903.1215,5552.311188904228
0.34895833249999997,25338.46725,18.9989515,551.0824725,42.08629075,60.72398025,226.809135,9.9368832,48134.831,25411.192,476.45151,138.91475,28.12862675,166.83909,0.099408585,0.43515138,1.834234075,1.8624456,1.16065125,25281.79575,43.0609525,0.1072677225,7.662076925,13.82205325,1.518624775,7534.62785,11891.03,3096.7531,864.8502375,5435.805225,17389.343249999998,9153.13415608594
0.390625,32402.267,19.0166675,814.1928399999999,42.778494249999994,72.30932625,403.6149175,10.95754875,48134.831,25411.192,476.45151,138.91475,28.16585925,171.416435,0.099408585,0.46121591500000003,1.7888829,1.8624456,1.5556673,32369.17325,45.89381925,0.109117245,7.594852225,16.8436345,1.91249355,8635.206900000001,12216.706750000001,3999.98375,864.89132,5384.833025,18669.264,13383.188151016704
0.43229166750000003,30445.672,19.0672635,980.6191524999999,41.20058425,78.3421745,532.2513200000001,11.6542495,48134.831,25411.192,476.45151,138.91475,28.191692250000003,175.28852999999998,0.099408585,0.610398935,1.7773435,1.8624456,1.9945905,30453.788249999998,46.20803375,0.119186355,7.659631474999999,17.2571955,1.9941748750000001,8859.737975,12505.84125,5502.174175,864.9254,5323.40165,20522.05425,12919.801936472022
0.47395833249999997,24678.44875,19.147398,1062.42635,38.82892375,79.859845,599.3797400000001,11.4213415,48134.831,25411.192,476.45151,138.91475,28.189503,176.04070000000002,0.099408585,0.7650922025,1.82673175,1.8624456,2.1386483,24685.20475,44.39489075,0.144580105,7.899937899999999,15.425345,1.731789725,8191.1891749999995,12578.7,6532.072625,864.931155,5288.54835,21659.6705,9686.850003631425
0.515625,21817.27975,19.25171625,1020.8004000000001,31.202209,71.5880725,599.2724425,10.100971574999999,48134.831,25411.192,476.45151,138.91475,28.14977825,175.19825,0.099408585,0.7709282025,1.871728025,1.8624456,2.1387339499999998,21817.07875,42.9780985,0.185972405,8.4915407,14.02533975,1.4174456,7535.592125,12537.787,6716.640425,864.9196475,5274.321925,21817.5405,7873.930807224067
